,0
709,No
710,Yes
711,No
712,No
713,No
714,No
715,Yes
716,Yes
717,Yes
718,No
719,No
720,Yes
721,No
722,No
723,No
724,Yes
725,No
726,No
727,Yes
728,Yes
729,No
730,No
731,Yes
732,No
733,Yes
734,Yes
735,No
736,No
737,No
738,No
739,No
740,Yes
741,No
742,Yes
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,Yes
751,No
752,No
753,Yes
754,Yes
755,No
756,No
757,No
758,No
759,No
760,Yes
761,Yes
762,No
763,No
764,No
765,No
766,No
767,Yes
768,No
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,No
777,No
778,Yes
779,No
780,No
781,No
782,Yes
783,Yes
784,Yes
785,No
786,No
787,No
788,No
789,No
790,Yes
791,No
792,Yes
793,Yes
794,No
795,No
796,Yes
797,No
798,No
799,No
800,No
801,Yes
802,Yes
803,No
804,No
805,No
806,Yes
807,Yes
808,No
809,No
810,No
811,No
812,No
813,No
814,Yes
815,Yes
816,No
817,No
818,Yes
819,Yes
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,Yes
833,No
834,Yes
835,No
836,Yes
837,No
838,Yes
839,No
840,Yes
841,No
842,No
843,No
844,Yes
845,No
846,No
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,No
858,Yes
859,Yes
860,No
861,No
862,No
863,Yes
864,Yes
865,No
866,Yes
867,Yes
868,No
869,Yes
870,No
871,No
872,No
873,Yes
874,No
875,Yes
876,No
877,No
878,No
879,Yes
880,No
881,No
882,Yes
883,No
884,Yes
885,No
886,Yes
887,No
888,No
889,Yes
890,No
891,No
892,No
893,No
894,No
895,Yes
896,No
897,No
898,No
899,Yes
900,No
901,No
902,No
903,No
904,Yes
905,No
906,No
907,No
908,No
909,No
910,Yes
911,No
912,Yes
913,No
914,No
915,No
916,Yes
917,No
918,Yes
919,No
920,No
921,Yes
922,Yes
923,No
924,No
925,No
926,Yes
927,No
928,No
929,No
930,No
931,Yes
932,No
933,No
934,No
935,No
936,Yes
937,No
938,Yes
939,No
940,No
941,Yes
942,No
943,Yes
944,No
945,No
946,No
947,No
948,No
949,Yes
950,No
951,No
952,No
953,Yes
954,No
955,Yes
956,No
957,No
958,Yes
959,No
960,No
961,No
962,No
963,No
964,No
965,No
966,Yes
967,Yes
968,No
969,Yes
970,Yes
971,No
972,No
973,Yes
974,No
975,No
976,No
977,No
978,No
979,No
980,No
981,No
982,No
983,No
984,No
985,No
986,No
987,No
988,Yes
989,No
990,No
991,No
992,No
993,No
994,No
995,No
996,No
997,No
998,No
999,Yes
1000,Yes
1001,No
1002,Yes
1003,Yes
1004,No
1005,No
1006,No
1007,Yes
1008,No
1009,No
1010,No
1011,No
1012,No
1013,No
1014,Yes
1015,No
1016,Yes
1017,No
1018,Yes
1019,No
1020,No
1021,No
1022,No
1023,No
1024,No
1025,No
1026,No
1027,Yes
1028,Yes
1029,No
1030,No
1031,No
1032,No
1033,Yes
1034,No
1035,Yes
1036,No
1037,No
1038,No
1039,No
1040,No
1041,No
1042,No
1043,No
1044,No
1045,No
1046,No
1047,No
1048,No
1049,No
1050,No
1051,No
1052,No
1053,No
1054,No
1055,Yes
1056,No
1057,No
1058,No
1059,No
1060,No
1061,Yes
1062,No
1063,No
1064,No
1065,No
1066,No
1067,No
1068,Yes
1069,No
1070,No
1071,No
1072,No
1073,No
1074,No
1075,No
1076,No
1077,Yes
1078,No
1079,Yes
1080,Yes
1081,Yes
1082,Yes
1083,Yes
1084,No
1085,Yes
1086,Yes
1087,No
1088,Yes
1089,No
1090,No
1091,No
1092,No
1093,No
1094,Yes
1095,No
1096,No
1097,No
1098,No
1099,No
1100,Yes
1101,No
1102,No
1103,Yes
1104,No
1105,Yes
1106,No
1107,No
1108,No
1109,Yes
1110,No
1111,No
1112,No
1113,No
1114,No
1115,No
1116,No
1117,No
1118,No
1119,No
1120,No
1121,No
1122,No
1123,No
1124,No
1125,No
1126,No
1127,Yes
1128,No
1129,No
1130,No
1131,No
1132,No
1133,No
1134,Yes
1135,No
1136,No
1137,No
1138,No
1139,No
1140,No
1141,No
1142,No
1143,No
1144,No
1145,Yes
1146,No
1147,No
1148,Yes
1149,Yes
1150,No
1151,No
1152,No
1153,Yes
1154,No
1155,No
1156,No
1157,No
1158,No
1159,Yes
1160,No
1161,No
1162,No
1163,Yes
1164,No
1165,No
1166,No
1167,No
1168,No
1169,No
1170,No
1171,Yes
1172,No
1173,No
1174,No
1175,Yes
1176,Yes
1177,No
1178,Yes
1179,No
1180,No
1181,Yes
1182,No
1183,No
1184,No
1185,No
1186,No
1187,No
1188,No
1189,Yes
1190,No
1191,No
1192,No
1193,No
1194,No
1195,No
1196,Yes
1197,No
1198,No
1199,No
1200,No
1201,No
1202,No
1203,No
1204,No
1205,Yes
1206,No
1207,No
1208,No
1209,No
1210,No
1211,No
1212,No
1213,No
1214,No
1215,Yes
1216,No
1217,No
1218,No
1219,No
1220,Yes
1221,No
1222,Yes
1223,No
1224,No
1225,No
1226,Yes
1227,No
1228,No
1229,No
1230,Yes
1231,No
1232,Yes
1233,Yes
1234,No
1235,Yes
1236,No
1237,Yes
1238,Yes
1239,No
1240,No
1241,Yes
1242,No
1243,Yes
1244,No
1245,Yes
1246,No
1247,No
1248,No
1249,No
1250,No
1251,No
1252,No
1253,Yes
1254,No
1255,No
1256,Yes
1257,Yes
1258,No
1259,No
1260,No
1261,No
1262,No
1263,Yes
1264,No
1265,No
1266,No
1267,No
1268,No
1269,No
1270,No
1271,Yes
1272,No
1273,No
1274,No
1275,Yes
1276,No
1277,No
1278,Yes
1279,No
1280,Yes
1281,No
1282,No
1283,No
1284,No
1285,Yes
1286,Yes
1287,Yes
1288,No
1289,No
1290,No
1291,Yes
1292,No
1293,No
1294,No
1295,No
1296,Yes
1297,No
1298,No
1299,No
1300,No
1301,No
1302,No
1303,No
1304,Yes
1305,No
1306,No
1307,No
1308,No
1309,No
1310,No
1311,No
1312,Yes
1313,No
1314,No
1315,Yes
1316,No
1317,No
1318,No
1319,No
1320,Yes
1321,No
1322,Yes
1323,No
1324,No
1325,No
1326,No
1327,No
1328,No
1329,No
1330,No
1331,Yes
1332,No
1333,Yes
1334,No
1335,Yes
1336,No
1337,No
1338,Yes
1339,Yes
1340,Yes
1341,No
1342,No
1343,No
1344,No
1345,No
1346,Yes
1347,No
1348,No
1349,No
1350,No
1351,No
1352,No
1353,No
1354,No
1355,Yes
1356,No
1357,No
1358,No
1359,No
1360,No
1361,Yes
1362,No
1363,No
1364,No
1365,Yes
1366,No
1367,Yes
1368,No
1369,No
1370,No
1371,No
1372,Yes
1373,No
1374,No
1375,No
1376,Yes
1377,No
1378,No
1379,No
1380,No
1381,Yes
1382,No
1383,Yes
1384,No
1385,No
1386,No
1387,Yes
1388,Yes
1389,No
1390,No
1391,Yes
1392,No
1393,No
1394,No
1395,No
1396,No
1397,No
1398,Yes
1399,No
1400,No
1401,Yes
1402,No
1403,No
1404,No
1405,Yes
1406,Yes
1407,No
1408,Yes
1409,No
1410,Yes
1411,No
1412,No
1413,No
1414,No
1415,Yes
1416,No
1417,No
1418,No
1419,No
1420,No
1421,No
1422,No
1423,Yes
1424,No
1425,Yes
1426,No
1427,No
1428,No
1429,Yes
1430,No
1431,No
1432,No
1433,Yes
1434,Yes
1435,Yes
1436,Yes
1437,No
1438,No
1439,Yes
1440,No
1441,Yes
1442,No
1443,No
1444,No
1445,No
1446,No
1447,No
1448,Yes
1449,Yes
1450,Yes
1451,Yes
1452,Yes
1453,No
1454,Yes
1455,No
1456,No
1457,Yes
1458,No
1459,No
1460,Yes
1461,No
1462,Yes
1463,No
1464,No
1465,No
1466,No
1467,No
1468,Yes
1469,No
1470,No
1471,No
1472,No
1473,Yes
1474,No
1475,No
1476,Yes
1477,Yes
1478,No
1479,Yes
1480,No
1481,No
1482,No
1483,No
1484,Yes
1485,No
1486,No
1487,Yes
1488,No
1489,No
1490,Yes
1491,No
1492,No
1493,Yes
1494,No
1495,No
1496,No
1497,No
1498,Yes
1499,No
1500,No
1501,No
1502,No
1503,No
1504,No
1505,No
1506,No
1507,No
1508,Yes
1509,Yes
1510,Yes
1511,Yes
1512,No
1513,No
1514,No
1515,No
1516,No
1517,No
1518,No
1519,No
1520,Yes
1521,No
1522,No
1523,Yes
1524,No
1525,Yes
1526,No
1527,No
1528,No
1529,No
1530,Yes
1531,No
1532,Yes
1533,Yes
1534,No
1535,Yes
1536,No
1537,No
1538,No
1539,No
1540,Yes
1541,No
1542,Yes
1543,No
1544,No
1545,No
1546,No
1547,No
1548,No
1549,Yes
1550,No
1551,No
1552,No
1553,Yes
1554,Yes
1555,No
1556,No
1557,No
1558,No
1559,No
1560,No
1561,No
1562,No
1563,No
1564,No
1565,No
1566,No
1567,No
1568,Yes
1569,No
1570,No
1571,No
1572,No
1573,Yes
1574,Yes
1575,No
1576,Yes
1577,No
1578,No
1579,Yes
1580,No
1581,No
1582,No
1583,Yes
1584,Yes
1585,Yes
1586,No
1587,No
1588,No
1589,No
1590,No
1591,No
1592,No
1593,No
1594,No
1595,No
1596,No
1597,No
1598,No
1599,Yes
1600,No
1601,No
1602,No
1603,No
1604,Yes
1605,No
1606,No
1607,No
1608,No
1609,No
1610,No
1611,No
1612,Yes
1613,No
1614,Yes
1615,No
1616,No
1617,No
1618,No
1619,No
1620,Yes
1621,Yes
1622,No
1623,No
1624,Yes
1625,No
1626,No
1627,No
1628,No
1629,No
1630,Yes
1631,Yes
1632,Yes
1633,No
1634,Yes
1635,Yes
1636,Yes
1637,No
1638,Yes
1639,No
1640,No
1641,Yes
1642,No
1643,No
1644,Yes
1645,Yes
1646,No
1647,Yes
1648,Yes
1649,No
1650,Yes
1651,No
1652,Yes
1653,No
1654,Yes
1655,No
1656,No
1657,Yes
1658,No
1659,Yes
1660,No
1661,No
1662,Yes
1663,No
1664,No
1665,Yes
1666,Yes
1667,No
1668,No
1669,No
1670,Yes
1671,No
1672,Yes
1673,No
1674,No
1675,Yes
1676,No
1677,No
1678,Yes
1679,No
1680,Yes
1681,No
1682,No
1683,No
1684,Yes
1685,No
1686,Yes
1687,No
1688,No
1689,No
1690,Yes
1691,No
1692,No
1693,No
1694,No
1695,Yes
1696,Yes
1697,No
1698,No
1699,No
1700,No
1701,Yes
1702,No
1703,No
1704,No
1705,No
1706,No
1707,Yes
1708,No
1709,No
1710,Yes
1711,No
1712,No
1713,No
1714,Yes
1715,No
1716,No
1717,No
